,DB_Object_ID,Qualifier_Idx,GO_ID,GO_Idx
0,A0A024RBG1,"[0, 0, 0, 0, 0, 0, 0]","['GO:0003723', 'GO:0005515', 'GO:0046872', 'GO:0034432', 'GO:0008486', 'GO:0034431', 'GO:0000298']","[3583, 1403, 2153, 742, 1604, 2562, 4197]"
1,A0A075B6Q5,[0],['GO:0003823'],[3754]
2,A0A075B6R2,[0],['GO:0003823'],[3754]
3,A0A075B6T6,[0],['GO:0042605'],[2831]
4,A0A075B6W5,[0],['GO:0042605'],[2831]
5,A0A075B734,"[0, 0, 0]","['GO:0015250', 'GO:0015204', 'GO:0015254']","[3912, 3163, 1747]"
6,A0A075B759,"[0, 0]","['GO:0003755', 'GO:0016018']","[1329, 2478]"
7,A0A075B767,"[0, 0]","['GO:0016018', 'GO:0003755']","[2478, 1329]"
8,A0A075B7B6,[0],['GO:0003823'],[3754]
9,A0A075B7B8,[0],['GO:0003823'],[3754]
10,A0A075B7D0,[0],['GO:0003823'],[3754]
11,A0A075B7D8,[0],['GO:0003823'],[3754]
12,A0A075B7E8,[0],['GO:0003823'],[3754]
13,A0A075B7F0,[0],['GO:0003823'],[3754]
14,A0A075B7F1,[0],['GO:0003823'],[3754]
15,A0A087WSY4,[0],['GO:0003823'],[3754]
16,A0A087WT01,[0],['GO:0005515'],[1403]
17,A0A087WTH5,"[1, 0, 1, 0]","['GO:1902282', 'GO:0044325', 'GO:0005251', 'GO:0015459']","[4148, 2435, 107, 143]"
18,A0A087WUV0,"[0, 0, 0]","['GO:0046872', 'GO:0000981', 'GO:0000978']","[2153, 483, 3124]"
19,A0A087WVF3,[0],['GO:0005096'],[1536]
20,A0A087WW49,[0],['GO:0003823'],[3754]
21,A0A087WXS9,[0],['GO:0005096'],[1536]
22,A0A087WYE8,[0],['GO:0003823'],[3754]
23,A0A087X179,[0],['GO:0005096'],[1536]
24,A0A087X1C1,[0],['GO:0003785'],[1231]
25,A0A087X1C5,"[2, 0, 0, 0]","['GO:0070330', 'GO:0005506', 'GO:0020037', 'GO:0016712']","[307, 2271, 305, 147]"
26,A0A087X1G2,[0],['GO:0005096'],[1536]
27,A0A087X1L8,[0],['GO:0005102'],[222]
28,A0A096LNW5,[0],['GO:0005509'],[3969]
29,A0A096LP01,"[0, 0, 0]","['GO:0005515', 'GO:0019901', 'GO:0044325']","[1403, 1899, 2435]"
30,A0A096LP49,[0],['GO:0008017'],[2451]
31,A0A096LPK9,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
32,A0A0A0MS14,[0],['GO:0003823'],[3754]
33,A0A0A0MS15,[0],['GO:0003823'],[3754]
34,A0A0A6YYK7,"[0, 0]","['GO:0042287', 'GO:0042605']","[2352, 2831]"
35,A0A0B4J1T7,"[0, 0]","['GO:0030549', 'GO:0033130']","[4014, 805]"
36,A0A0B4J1U7,[0],['GO:0003823'],[3754]
37,A0A0B4J1V0,[0],['GO:0003823'],[3754]
38,A0A0B4J1V1,[0],['GO:0003823'],[3754]
39,A0A0B4J1V2,[0],['GO:0003823'],[3754]
40,A0A0B4J1V6,[0],['GO:0003823'],[3754]
41,A0A0B4J1V7,[0],['GO:0003823'],[3754]
42,A0A0B4J1X5,[0],['GO:0003823'],[3754]
43,A0A0B4J1X8,[0],['GO:0003823'],[3754]
44,A0A0B4J1Y9,[0],['GO:0003823'],[3754]
45,A0A0B4J245,[0],['GO:0042605'],[2831]
46,A0A0B4J271,[0],['GO:0042605'],[2831]
47,A0A0B4J2A2,"[0, 0]","['GO:0003755', 'GO:0016018']","[1329, 2478]"
48,A0A0B4J2B6,[0],['GO:0003823'],[3754]
49,A0A0B4J2B8,[0],['GO:0003823'],[3754]
50,A0A0B4J2D5,[0],['GO:0005515'],[1403]
51,A0A0B4J2F0,[0],['GO:0005515'],[1403]
52,A0A0B4J2F2,"[0, 0, 0, 0, 0, 0]","['GO:0000287', 'GO:0005515', 'GO:0005524', 'GO:0044024', 'GO:0106310', 'GO:0004674']","[3003, 1403, 2220, 4382, 3521, 533]"
53,A0A0B4J2H0,[0],['GO:0003823'],[3754]
54,A0A0C4DH29,[0],['GO:0003823'],[3754]
55,A0A0C4DH30,[0],['GO:0003823'],[3754]
56,A0A0C4DH31,[0],['GO:0003823'],[3754]
57,A0A0C4DH32,[0],['GO:0003823'],[3754]
58,A0A0C4DH33,[0],['GO:0003823'],[3754]
59,A0A0C4DH34,[0],['GO:0003823'],[3754]
60,A0A0C4DH35,[0],['GO:0003823'],[3754]
61,A0A0C4DH36,[0],['GO:0003823'],[3754]
62,A0A0C4DH38,[0],['GO:0003823'],[3754]
63,A0A0C4DH39,[0],['GO:0003823'],[3754]
64,A0A0C4DH41,[0],['GO:0003823'],[3754]
65,A0A0C4DH42,[0],['GO:0003823'],[3754]
66,A0A0C4DH43,[0],['GO:0003823'],[3754]
67,A0A0C5B5G6,"[0, 0]","['GO:0003677', 'GO:0140297']","[3938, 171]"
68,A0A0G2JLG4,[0],['GO:0005272'],[2165]
69,A0A0G2JMD5,[0],['GO:1990756'],[2249]
70,A0A0G2JMH3,"[0, 0]","['GO:0003924', 'GO:0005525']","[3233, 2119]"
71,A0A0G2JMH6,"[0, 0]","['GO:0042605', 'GO:0023026']","[2831, 2782]"
72,A0A0G2JMI3,[0],['GO:0003823'],[3754]
73,A0A0G2JNH3,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
74,A0A0G2JP20,[0],['GO:1990756'],[2249]
75,A0A0G2JPB7,[0],['GO:0005102'],[222]
76,A0A0J9YVY3,[0],['GO:0003823'],[3754]
77,A0A0J9YWL9,"[0, 0]","['GO:0046872', 'GO:0003729']","[2153, 3466]"
78,A0A0J9YX35,[0],['GO:0003823'],[3754]
79,A0A0J9YXX1,[0],['GO:0003823'],[3754]
80,A0A0J9YY54,"[0, 0]","['GO:0046872', 'GO:0003729']","[2153, 3466]"
81,A0A0K2S4Q6,"[2, 0, 0]","['GO:0042803', 'GO:0005515', 'GO:0004888']","[127, 1403, 4596]"
82,A0A0U1RQE8,"[0, 0]","['GO:0047961', 'GO:0047946']","[3483, 2972]"
83,A0A0U1RQF7,[0],['GO:0005515'],[1403]
84,A0A0U1RQI7,"[0, 0, 0]","['GO:0046872', 'GO:0000981', 'GO:0000978']","[2153, 483, 3124]"
85,A0A0U1RR11,"[0, 0]","['GO:0016846', 'GO:0046872']","[3920, 2153]"
86,A0A0U1RRE5,[0],['GO:0005515'],[1403]
87,A0A0U1RRI6,"[0, 0]","['GO:0016846', 'GO:0046872']","[3920, 2153]"
88,A0A0X1KG70,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
89,A0A126GWB0,[0],['GO:0004984'],[2935]
90,A0A126GWI2,[0],['GO:0004984'],[2935]
91,A0A140G945,[0],['GO:0051082'],[91]
92,A0A140TA62,[0],['GO:0005198'],[1688]
93,A0A1B0GTB2,[0],['GO:0051117'],[518]
94,A0A1B0GTH9,[0],['GO:0046872'],[2153]
95,A0A1B0GTQ1,[0],['GO:0005506'],[2271]
96,A0A1B0GTS1,"[0, 0]","['GO:0000978', 'GO:0003700']","[3124, 1439]"
97,A0A1B0GTU1,[0],['GO:0046872'],[2153]
98,A0A1B0GTW7,"[0, 0, 0]","['GO:0004222', 'GO:0046872', 'GO:0008233']","[2687, 2153, 2954]"
99,A0A1B0GUL7,[0],['GO:0004708'],[2064]
100,A0A1B0GUS4,"[0, 0, 0]","['GO:0005524', 'GO:0016874', 'GO:0061631']","[2220, 4196, 586]"
101,A0A1B0GUV7,[0],['GO:0005515'],[1403]
102,A0A1B0GUV8,[0],['GO:0036094'],[2786]
103,A0A1B0GUY1,[0],['GO:0030020'],[619]
104,A0A1B0GVH4,[0],['GO:0004252'],[712]
105,A0A1B0GVM2,[0],['GO:0044325'],[2435]
106,A0A1B0GVX0,[0],['GO:0008270'],[4136]
107,A0A1B0GVZ6,[0],['GO:0008327'],[1067]
108,A0A1B0GW55,"[0, 0]","['GO:0000977', 'GO:0000981']","[3995, 483]"
109,A0A1B0GWH4,"[0, 0, 0]","['GO:0000981', 'GO:0000978', 'GO:0003700']","[483, 3124, 1439]"
110,A0A1B0GWJ1,[0],['GO:0046872'],[2153]
111,A0A1B0GWK0,[0],['GO:0005509'],[3969]
112,A0A1W2PN81,[0],['GO:0022848'],[817]
113,A0A1W2PP81,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
114,A0A1W2PPD8,"[0, 0, 0]","['GO:0016491', 'GO:0046872', 'GO:0032454']","[1002, 2153, 3219]"
115,A0A1W2PPE2,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
116,A0A1W2PPF3,"[0, 0]","['GO:0000977', 'GO:0000981']","[3995, 483]"
117,A0A1W2PPG7,[0],['GO:0031681'],[1927]
118,A0A1W2PPH5,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
119,A0A1W2PPK0,"[0, 0]","['GO:0000981', 'GO:0000978']","[483, 3124]"
120,A0A1W2PPL8,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
121,A0A1W2PPM1,"[0, 0]","['GO:0000981', 'GO:0000978']","[483, 3124]"
122,A0A1W2PPW3,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
123,A0A1W2PQ09,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
124,A0A1W2PQ27,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
125,A0A1W2PQ64,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
126,A0A1W2PQ73,"[0, 0]","['GO:0043565', 'GO:0000981']","[2406, 483]"
127,A0A1W2PQC6,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
128,A0A1W2PQD8,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
129,A0A1W2PQJ5,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
130,A0A1W2PQL4,"[0, 0, 0]","['GO:0046872', 'GO:0000981', 'GO:0000978']","[2153, 483, 3124]"
